# Ratio Measurement - KEITHLEY INSTRUMENTS INC.,MODEL 2100,1194515,01.12-01-01
# Main Channel: 100V, Reference: Auto
# Start: 2025-12-02 15:01:15
# Stop: 2025-12-03 08:00:00
# File: c:\WinPython\notebooks\HiPES\Francois\Driftmessung_2025-12-02_15-01-15.csv

Datum_Zeit,Ratiomesswert,Gleitender_Mittelwert,Gesamtmittelwert
2025-12-02 15:05:03,10.0312040000,10.0311998400,10.0312373614
2025-12-02 15:05:04,10.0312048000,10.0312009067,10.0312372192
2025-12-02 15:05:05,10.0311760000,10.0311989867,10.0312369530
2025-12-02 15:05:06,10.0311936000,10.0311982400,10.0312367654
2025-12-02 15:05:07,10.0312168000,10.0311982400,10.0312366793
2025-12-02 15:05:08,10.0311976000,10.0311986133,10.0312365116
2025-12-02 15:05:09,10.0311632000,10.0311958933,10.0312361983
2025-12-02 15:05:10,10.0311640000,10.0311930133,10.0312358911
2025-12-02 15:05:11,10.0311864000,10.0311930133,10.0312356814
2025-12-02 15:05:12,10.0312136000,10.0311930133,10.0312355882
2025-12-02 15:05:13,10.0311792000,10.0311933867,10.0312353513
2025-12-02 15:05:14,10.0312080000,10.0311936533,10.0312352368
2025-12-02 15:05:15,10.0311344000,10.0311897600,10.0312348167
2025-12-02 15:05:15,10.0311664000,10.0311866133,10.0312345328
2025-12-02 15:05:16,10.0311792000,10.0311858133,10.0312343041
2025-12-02 15:05:18,10.0311888000,10.0311848000,10.0312341169
2025-12-02 15:05:19,10.0312176000,10.0311856533,10.0312340492
2025-12-02 15:05:20,10.0312008000,10.0311873067,10.0312339135
2025-12-02 15:05:21,10.0312096000,10.0311883733,10.0312338146
2025-12-02 15:05:22,10.0312360000,10.0311896533,10.0312338235
2025-12-02 15:05:23,10.0312144000,10.0311907733,10.0312337452
2025-12-02 15:05:24,10.0312504000,10.0311965867,10.0312338120
2025-12-02 15:05:25,10.0312336000,10.0312012267,10.0312338112
2025-12-02 15:05:26,10.0312216000,10.0312035733,10.0312337625
2025-12-02 15:05:27,10.0312416000,10.0312054400,10.0312337937
2025-12-02 15:05:28,10.0311848000,10.0312058133,10.0312336000
2025-12-02 15:05:29,10.0312624000,10.0312094400,10.0312337134
2025-12-02 15:05:30,10.0311888000,10.0312130667,10.0312335373
2025-12-02 15:05:31,10.0312376000,10.0312178133,10.0312335531
2025-12-02 15:05:32,10.0312272000,10.0312210133,10.0312335284
2025-12-02 15:05:33,10.0312088000,10.0312223467,10.0312334326
2025-12-02 15:05:34,10.0312168000,10.0312222933,10.0312333683
2025-12-02 15:05:35,10.0312368000,10.0312246933,10.0312333815
2025-12-02 15:05:36,10.0312040000,10.0312243200,10.0312332690
2025-12-02 15:05:37,10.0312008000,10.0312219733,10.0312331450
2025-12-02 15:05:38,10.0311936000,10.0312205867,10.0312329947
2025-12-02 15:05:39,10.0312040000,10.0312174933,10.0312328848
2025-12-02 15:05:40,10.0312088000,10.0312158400,10.0312327940
2025-12-02 15:05:41,10.0311672000,10.0312122133,10.0312325474
2025-12-02 15:05:42,10.0312112000,10.0312101867,10.0312324674
2025-12-02 15:05:43,10.0312128000,10.0312120533,10.0312323940
2025-12-02 15:05:44,10.0312272000,10.0312097067,10.0312323747
2025-12-02 15:05:45,10.0312624000,10.0312146133,10.0312324859
2025-12-02 15:05:46,10.0312224000,10.0312136000,10.0312324487
2025-12-02 15:05:47,10.0312504000,10.0312151467,10.0312325147
2025-12-02 15:05:48,10.0312408000,10.0312172800,10.0312325451
2025-12-02 15:05:49,10.0312160000,10.0312172267,10.0312324847
2025-12-02 15:05:49,10.0312424000,10.0312176000,10.0312325207
2025-12-02 15:05:51,10.0312360000,10.0312197333,10.0312325333
2025-12-02 15:05:52,10.0312272000,10.0312214933,10.0312325141
